Mass,Radius,Density,Temperature,Pressure,Luminosity,Energy Rate,Opacity,del_ad,del_actual,Shell Nature
1.1630056336995273e+24,14933087.857640289,88.25203712174765,17110890.111093614,2.0424318696422218e+17,6.715825935565821e+25,54.66040669615738,1.0192209757965485,0.4,0.4,Convective
1.1896370265020542e+24,15038186.142817095,88.25203629738458,17110890.004425287,2.042431837811209e+17,6.8613942080853125e+25,54.66040290798008,1.0192209832305419,0.4,0.4,Convective
1.216878245312332e+24,15143949.307664717,88.2520354641153,17110889.896604534,2.0424318056363005e+17,7.010295803611076e+25,54.66039907887627,1.0192209907448504,0.4,0.4,Convective
1.244743254392877e+24,15250393.496306624,88.2520346218908,17110889.78762503,2.0424317731156074e+17,7.162607050725204e+25,54.6603952086217,1.0192209983399163,0.4,0.4,Convective
1.2732463377705424e+24,15357538.847023442,88.25203377058901,17110889.677470967,2.042431740244413e+17,7.3184060258281345e+25,54.66039129665444,1.0192210060168392,0.4,0.4,Convective
1.3024021065587563e+24,15465409.799260417,88.25203290999846,17110889.56611498,2.0424317070145533e+17,7.477772593161616e+25,54.660387342002984,1.0192210137775273,0.4,0.4,Convective
1.332225506447433e+24,15574035.401653297,88.25203203979997,17110889.453515783,2.0424316734137046e+17,7.640788445748195e+25,54.6603833432009,1.01922102162486,0.4,0.4,Convective
1.3627318253642855e+24,15683449.617859147,88.25203115954575,17110889.339615416,2.0424316394245744e+17,7.807537147267619e+25,54.66037929819008,1.0192210295628734,0.4,0.4,Convective
1.3939367013117365e+24,15793691.626374733,88.25203026863524,17110889.22433619,2.0424316050239757e+17,7.978104174893062e+25,54.66037520421136,1.0192210375969841,0.4,0.4,Convective
1.42585613038312e+24,15904806.109836,88.25202936628816,17110889.10757712,2.0424315701817776e+17,8.152576963107413e+25,54.6603710576786,1.0192210457342277,0.4,0.4,Convective
1.4585064749625519e+24,16016843.528515905,88.25202845151338,17110888.989209965,2.0424315348597104e+17,8.331044948523522e+25,54.66036685403742,1.0192210539835451,0.4,0.4,Convective
1.491904472112574e+24,16129860.371856045,88.25202752307405,17110888.869074695,2.042431499010017e+17,8.51359961573088e+25,54.66036258760457,1.019221062356086,0.4,0.4,Convective
1.5260672421537437e+24,16243919.38087301,88.25202657944804,17110888.74697434,2.0424314625739222e+17,8.700334544191492e+25,54.66035825138506,1.0192210708655793,0.4,0.4,Convective
1.5610122974408663e+24,16359089.733160447,88.25202561878318,17110888.62266925,2.042431425479909e+17,8.89134545621069e+25,54.660353836867856,1.0192210795287253,0.4,0.4,Convective
1.5967575513400087e+24,16475447.18094248,88.25202463884688,17110888.495870534,2.0424313876417712e+17,9.086730266005472e+25,54.660349333793775,1.019221088365661,0.4,0.4,Convective
1.6333213274111981e+24,16593074.131215697,88.25202363696941,17110888.36623274,2.042431348956422e+17,9.28658912989718e+25,54.660344729894206,1.0192210974004576,0.4,0.4,Convective
1.6707223688013983e+24,16712059.65541931,88.25202260997997,17110888.23334559,2.042431309301429e+17,9.491024497653655e+25,54.660340010599015,1.019221106661712,0.4,0.4,Convective
1.708979847852439e+24,16832499.414281648,88.25202155413507,17110888.096724693,2.0424312685322442e+17,9.70014116500642e+25,54.66033515870588,1.0192211161831815,0.4,0.4,Convective
1.7481133759291563e+24,16954495.481484205,88.25202046503786,17110887.95580112,2.042431226479094e+17,9.914046327371624e+25,54.66033015401006,1.0192211260045139,0.4,0.4,Convective
1.788143013472381e+24,17078156.047532607,88.25201933754803,17110887.809909742,2.042431182943496e+17,1.0132849634800145e+26,54.66032497289025,1.0192211361720669,0.4,0.4,Convective
1.8290892802822657e+24,17203574.796257064,88.25201816646742,17110887.65837794,2.042431137724734e+17,1.03566632481226e+26,54.66031959146004,1.0192211467327168,0.4,0.4,Convective
1.87097316603709e+24,17330308.082123403,88.25201696734737,17110887.503217988,2.0424310914232902e+17,1.0585601894794568e+26,54.660314081181845,1.0192211575462213,0.4,0.4,Convective
1.913816141052786e+24,17458124.578068007,88.25201574843462,17110887.34549696,2.0424310443575942e+17,1.0819782930101316e+26,54.660308479951496,1.0192211685382144,0.4,0.4,Convective
1.957640167289069e+24,17587014.737795223,88.25201450953105,17110887.185189225,2.042430996519997e+17,1.1059326397310127e+26,54.66030278685881,1.0192211797104826,0.4,0.4,Convective
2.0024677096073628e+24,17716969.660576165,88.25201325043811,17110887.02226908,2.0424309479028298e+17,1.1304355088494459e+26,54.66029700099128,1.0192211910648172,0.4,0.4,Convective
2.0483217472866748e+24,17847981.218930032,88.2520119709561,17110886.856710702,2.042430898498384e+17,1.1554994607477224e+26,54.66029112143141,1.0192212026030156,0.4,0.4,Convective
2.0952257858031752e+24,17980042.190130044,88.25201067088389,17110886.68848805,2.0424308482988915e+17,1.1811373434215415e+26,54.66028514725493,1.0192212143268964,0.4,0.4,Convective
2.1432038688793603e+24,18113146.390462793,88.25200935001811,17110886.517574824,2.0424307972965014e+17,1.2073622990658156e+26,54.66027907752731,1.0192212262382896,0.4,0.4,Convective
2.1922805908092792e+24,18247288.810923807,88.25200800815254,17110886.34394433,2.04243074548325e+17,1.2341877708113627e+26,54.66027291130116,1.019221238339057,0.4,0.4,Convective
2.242481109065996e+24,18382465.752747353,88.25200664507717,17110886.1675694,2.0424306928510288e+17,1.2616275096158586e+26,54.66026664761125,1.0192212506310927,0.4,0.4,Convective
2.2938311571975683e+24,18518674.9608449,88.25200526057738,17110885.98842225,2.0424306393915485e+17,1.2896955813124795e+26,54.66026028547118,1.0192212631163318,0.4,0.4,Convective
